CAT,N. Gara,Data,Ora,Squadra A,Separatore,Squadra B,PALESTRA,NOTE,SetA_Vinti,SetB_Vinti,1_SET_PTS_A,1_SET_PTS_B,2_SET_PTS_A,2_SET_PTS_B,3_SET_PTS_A,3_SET_PTS_B,4_SET_PTS_A,4_SET_PTS_B,5_SET_PTS_A,5_SET_PTS_B
4+2,730132,mer 14 /01/ 26,ore 21.30,Sinapsi,-,Banane Magiche,Pal. Com. - Piazza della Concordia Givoletto TO ,ingresso retro pal.,,,,,,,,,,,,
4+2,730133,dom 18 /01/ 26,ore 20.45,Kolbe GEN-YZ,-,Frassati Valle Sauglio,Palestra Aprica via Bard 39 Torino,,,,,,,,,,,,,
4+2,730134,gio 09 /04/ 26,ore 20.30,ASD Patr. San Giuseppe,-,T.V.M.21 - Schiacciami Ancora,"Via Pietro Baiardi 4, Torino",,,,,,,,,,,,,
4+2,730135,gio 15 /01/ 26,ore 21.00,ASD Airasca Longobarda,-,Virtus Gialla,"Pal. scuola primaria, Via Torino,13 - Castagnole Piemonte ",No pubblico,,,,,,,,,,,,

4+2,730136,mar 20 /01/ 26,ore 21.30,San Luigi Santena,-,Virtus Gialla,"Pal. Oratorio S.Luigi Santena via Vittorio Veneto,31 ",ingresso da via Milite Ignoto,,,,,,,,,,,,
4+2,730137,mer 21 /01/ 26,ore 21.00,T.V.M.21 - Schiacciami Ancora,-,ASD Airasca Longobarda,"Scuola Colombo, Piazzetta Jona 4, TO ",Max 3 ospiti a squadra,,,,,,,,,,,,
4+2,730138,gio 22 /01/ 26,ore 21.00,Frassati Valle Sauglio,-,ASD Patr. San Giuseppe,"Ist. Flora Manfrinati - Str. Revigliasco, 69 - Moncalieri TO",,,,,,,,,,,,,
4+2,730139,mar 20 /01/ 26,ore 20.30,Banane Magiche,-,Kolbe GEN-YZ,"Strada Contessa,90 Caselette",,,,,,,,,,,,,
4+2,730140,gio 22 /01/ 26,ore 21.20,Frassati S.Carlo,-,Sinapsi,Palavauda -Viale Europa - Vauda C.se ,ingresso H 20.30,,,,,,,,,,,,

4+2,730141,mer 28 /01/ 26,ore 21.30,Sinapsi,-,San Luigi Santena,Pal. Com. - Piazza della Concordia Givoletto TO ,ingresso retro pal.,,,,,,,,,,,,
4+2,730142,dom 01 /02/ 26,ore 20.45,Kolbe GEN-YZ,-,Frassati S.Carlo,Palestra Aprica via Bard 39 Torino,,,,,,,,,,,,,
4+2,730143,gio 29 /01/ 26,ore 20.30,ASD Patr. San Giuseppe,-,Banane Magiche,"Via Pietro Baiardi 4, Torino",,,,,,,,,,,,,
4+2,730144,gio 29 /01/ 26,ore 21.00,ASD Airasca Longobarda,-,Frassati Valle Sauglio,"Pal. scuola primaria, Via Torino,13 - Castagnole Piemonte ",No pubblico,,,,,,,,,,,,
4+2,730145,lun 30 /03/ 26,ore 21.30,Virtus Gialla,-,T.V.M.21 - Schiacciami Ancora,Via Trieste 1 - Volpiano,,,,,,,,,,,,,

4+2,730146,mar 03 /02/ 26,ore 21.30,San Luigi Santena,-,T.V.M.21 - Schiacciami Ancora,"Pal. Oratorio S.Luigi Santena via Vittorio Veneto,31 ",ingresso da via Milite Ignoto,,,,,,,,,,,,
4+2,730147,lun 02 /02/ 26,ore 21.30,Virtus Gialla,-,Frassati Valle Sauglio,Via Trieste 1 - Volpiano,,,,,,,,,,,,,
