CAT,N. Gara,Data,Ora,Squadra A,Separatore,Squadra B,PALESTRA,NOTE,SetA_Vinti,SetB_Vinti,1_SET_PTS_A,1_SET_PTS_B,2_SET_PTS_A,2_SET_PTS_B,3_SET_PTS_A,3_SET_PTS_B,4_SET_PTS_A,4_SET_PTS_B,5_SET_PTS_A,5_SET_PTS_B
OPMSB,742132,mer 10/12/25,20:30,Sportidea Drink Team,-,ASD Patr. San Giuseppe,Via Pietro Baiardi 4 TO,,,,,,,,,,,,,
OPMSB,742133,ven 12/12/25,21:15,Sportidea Monsterbrock,-,San Salvario,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742134,dom 14/12/25,21:00,Borgofranco Volley,-,Gianferr Volley,Via San Marco 8 Borgofranco d'Ivrea,,,,,,,,,,,,,
OPMSB,742135,gio 11/12/25,21:00,Sanbe Misto,-,Vis Atletico Mista Open,Pal. Com.  C.so Italia 34 San Benigno Canavese Ingresso ultimo cancello H20.30,,,,,,,,,,,,,

OPMSB,742136,mer 17/12/25,21:00,Sgnacalabala Vintage,-,Dora TO,"Pal. Cattaneo - Via Giacomo Leopardi, 22 - Collegno  ingresso H20,30 pubblico 15/20",,,,,,,,,,,,,
OPMSB,742137,gio 18/12/25,21:00,T.V.M.21 - Sbronzi di Riace,-,Sociale Sport - SEMPRE FUORI CASA,"Scuola C. Picchio - Via Palma di Cesnola 31, TO - No pubblico - NO PALLONI",,,,,,,,,,,,,
OPMSB,742138,mar 16/12/25,20:45,Aurora Vanchiglia Volley,-,Sportidea Drink Team,"Scuola Aristide Gabelli - Via Santhià 25, TO - parcheggio interno",,,,,,,,,,,,,
OPMSB,742139,mer 17/12/25,20:30,ASD Patr. San Giuseppe,-,Sportidea Monsterbrock,Via Pietro Baiardi 4 TO,,,,,,,,,,,,,
OPMSB,742140,mer 17/12/25,21:00,San Salvario,-,Borgofranco Volley,"Pal. Nievo - C-so Moncalieri, 43 – TO - MAX 3Sp / Squadra",,,,,,,,,,,,,
OPMSB,742141,ven 19/12/25,21:15,Gianferr Volley,-,Sanbe Misto,"Pal. Scuole - Via Remo Bretto,12  Feletto",,,,,,,,,,,,,
OPMSB,742142,lun 15/12/25,,RIPOSO,-,Vis Atletico Mista Open,,,,,,,,,,,,,,

OPMSB,742143,lun 05/01/26,20:45,Dora TO,-,RIPOSO,"Pal. Cecchi, Via A. Cecchi, 14, TO",,,,,,,,,,,,,
OPMSB,742144,mer 21/01/26,21:00,Sociale Sport - SEMPRE FUORI CASA,-,Sgnacalabala Vintage,"Pal. Cattaneo - Via Giacomo Leopardi, 22 - Collegno  ingresso H20,30 pubblico 15/20",,,,,,,,,,,,,
OPMSB,742145,lun 02/02/26,21:15,Sportidea Drink Team,-,T.V.M.21 - Sbronzi di Riace,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742146,ven 09/01/26,21:15,Sportidea Monsterbrock,-,Aurora Vanchiglia Volley,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742147,dom 11/01/26,21:00,Borgofranco Volley,-,ASD Patr. San Giuseppe,Via San Marco 8 Borgofranco d'Ivrea,DA CONFERMARE,,,,,,,,,,,,
OPMSB,742148,gio 08/01/26,21:00,Sanbe Misto,-,San Salvario,Pal. Com.  C.so Italia 34 San Benigno Canavese Ingresso ultimo cancello H20.30,,,,,,,,,,,,,
OPMSB,742149,gio 15/01/26,21:15,Vis Atletico Mista Open,-,Gianferr Volley,"Pal. Chiovini - Via Monesiglio, 1 – NO Pubblico - NO Docce - ingresso H20:30",,,,,,,,,,,,,

OPMSB,742150,mer 14/01/26,21:15,Dora TO,-,Sociale Sport - SEMPRE FUORI CASA,"Pal. Cecchi, Via A. Cecchi, 14, TO",,,,,,,,,,,,,
OPMSB,742151,mer 14/01/26,21:00,Sgnacalabala Vintage,-,Sportidea Drink Team,"Pal. Cattaneo - Via Giacomo Leopardi, 22 - Collegno  ingresso H20,30 pubblico 15/20",,,,,,,,,,,,,
OPMSB,742152,gio 15/01/26,21:00,T.V.M.21 - Sbronzi di Riace,-,Sportidea Monsterbrock,"Scuola C. Picchio - Via Palma di Cesnola 31, TO - No pubblico - NO PALLONI",,,,,,,,,,,,,
OPMSB,742153,gio 15/01/26,20:45,Aurora Vanchiglia Volley,-,Borgofranco Volley,"Scuola Aristide Gabelli - Via Santhià 25, TO - parcheggio interno",,,,,,,,,,,,,
OPMSB,742154,mer 14/01/26,20:30,ASD Patr. San Giuseppe,-,Sanbe Misto,Via Pietro Baiardi 4 TO,,,,,,,,,,,,,
OPMSB,742155,mer 14/01/26,21:00,San Salvario,-,Vis Atletico Mista Open,"Pal. Nievo - C-so Moncalieri, 43 – TO - MAX 3Sp / Squadra",,,,,,,,,,,,,
OPMSB,742156,lun 12/01/26,,RIPOSO,-,Gianferr Volley,,,,,,,,,,,,,,

OPMSB,742157,lun 19/01/26,19:30,Sociale Sport - SEMPRE FUORI CASA,-,RIPOSO,,,,,,,,,,,,,,
OPMSB,742158,lun 19/01/26,21:15,Sportidea Drink Team,-,Dora TO,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742159,ven 23/01/26,21:15,Sportidea Monsterbrock,-,Sgnacalabala Vintage,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742160,dom 25/01/26,21:00,Borgofranco Volley,-,T.V.M.21 - Sbronzi di Riace,Via San Marco 8 Borgofranco d'Ivrea,,,,,,,,,,,,,
OPMSB,742161,gio 22/01/26,21:00,Sanbe Misto,-,Aurora Vanchiglia Volley,Pal. Com.  C.so Italia 34 San Benigno Canavese Ingresso ultimo cancello H20.30,,,,,,,,,,,,,
OPMSB,742162,gio 22/01/26,21:15,Vis Atletico Mista Open,-,ASD Patr. San Giuseppe,"Pal. Chiovini - Via Monesiglio, 1 – NO Pubblico - NO Docce - ingresso H20:30",,,,,,,,,,,,,
